127.0.0.1 - - [23/Oct/2015:23:03:27 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:03:29 -0200] "GET /ProjetoVendaPassagemAereaWEB/EscolherVooPassagem.jsp HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:03:29 -0200] "GET /ProjetoVendaPassagemAereaWEB/.bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:03:29 -0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:03:29 -0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:03:30 -0200] "GET /ProjetoVendaPassagemAereaWEB/.bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /ProjetoVendaPassagemAereaWEB/EscolherVooPassagem.jsp HTTP/1.1" 200 5027
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /ProjetoVendaPassagemAereaWEB/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /ProjetoVendaPassagemAereaWEB/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /ProjetoVendaPassagemAereaWEB/.bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:44 -0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /ProjetoVendaPassagemAereaWEB/EscolherVooPassagem.jsp HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /ProjetoVendaPassagemAereaWEB/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /ProjetoVendaPassagemAereaWEB/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /ProjetoVendaPassagemAereaWEB/.bootstrap/js/bootstrap.min.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [23/Oct/2015:23:05:57 -0200] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
